Start @ 0, Pitch: 55, Volume: 70
Stop  @ 1400000, Pitch: 55, Volume: 70
Start @ 0, Pitch: 64, Volume: 72
Stop  @ 400000, Pitch: 64, Volume: 72
Start @ 400000, Pitch: 62, Volume: 72
Stop  @ 800000, Pitch: 62, Volume: 72
Start @ 800000, Pitch: 60, Volume: 71
Stop  @ 1200000, Pitch: 60, Volume: 71
Start @ 1200000, Pitch: 62, Volume: 79
Stop  @ 1600000, Pitch: 62, Volume: 79
Start @ 1600000, Pitch: 55, Volume: 79
Stop  @ 3000000, Pitch: 55, Volume: 79
Start @ 1600000, Pitch: 64, Volume: 85
Stop  @ 2000000, Pitch: 64, Volume: 85
Start @ 2000000, Pitch: 64, Volume: 78
Stop  @ 2400000, Pitch: 64, Volume: 78
Start @ 2400000, Pitch: 64, Volume: 74
Stop  @ 3000000, Pitch: 64, Volume: 74
Start @ 3200000, Pitch: 55, Volume: 77
Stop  @ 4800000, Pitch: 55, Volume: 77
Start @ 3200000, Pitch: 62, Volume: 75
Stop  @ 3600000, Pitch: 62, Volume: 75
Start @ 3600000, Pitch: 62, Volume: 77
Stop  @ 4000000, Pitch: 62, Volume: 77
Start @ 4000000, Pitch: 62, Volume: 75
Stop  @ 4800000, Pitch: 62, Volume: 75
Start @ 4800000, Pitch: 55, Volume: 79
Stop  @ 5200000, Pitch: 55, Volume: 79
Start @ 4800000, Pitch: 64, Volume: 82
Stop  @ 5200000, Pitch: 64, Volume: 82
Start @ 5200000, Pitch: 67, Volume: 84
Stop  @ 5600000, Pitch: 67, Volume: 84
Start @ 5600000, Pitch: 67, Volume: 75
Stop  @ 6400000, Pitch: 67, Volume: 75
Start @ 6400000, Pitch: 55, Volume: 78
Stop  @ 8000000, Pitch: 55, Volume: 78
Start @ 6400000, Pitch: 64, Volume: 73
Stop  @ 6800000, Pitch: 64, Volume: 73
Start @ 6800000, Pitch: 62, Volume: 69
Stop  @ 7200000, Pitch: 62, Volume: 69
Start @ 7200000, Pitch: 60, Volume: 71
Stop  @ 7600000, Pitch: 60, Volume: 71
Start @ 7600000, Pitch: 62, Volume: 80
Stop  @ 8000000, Pitch: 62, Volume: 80
Start @ 8000000, Pitch: 55, Volume: 79
Stop  @ 9600000, Pitch: 55, Volume: 79
Start @ 8000000, Pitch: 64, Volume: 84
Stop  @ 8400000, Pitch: 64, Volume: 84
Start @ 8400000, Pitch: 64, Volume: 76
Stop  @ 8800000, Pitch: 64, Volume: 76
Start @ 8800000, Pitch: 64, Volume: 74
Stop  @ 9200000, Pitch: 64, Volume: 74
Start @ 9200000, Pitch: 64, Volume: 77
Stop  @ 9600000, Pitch: 64, Volume: 77
Start @ 9600000, Pitch: 55, Volume: 78
Stop  @ 11200000, Pitch: 55, Volume: 78
Start @ 9600000, Pitch: 62, Volume: 75
Stop  @ 10000000, Pitch: 62, Volume: 75
Start @ 10000000, Pitch: 62, Volume: 74
Stop  @ 10400000, Pitch: 62, Volume: 74
Start @ 10400000, Pitch: 64, Volume: 81
Stop  @ 10800000, Pitch: 64, Volume: 81
Start @ 10800000, Pitch: 62, Volume: 70
Stop  @ 11200000, Pitch: 62, Volume: 70
Start @ 11200000, Pitch: 52, Volume: 72
Stop  @ 12800000, Pitch: 52, Volume: 72
Start @ 11200000, Pitch: 60, Volume: 73
Stop  @ 12800000, Pitch: 60, Volume: 73
